'ding'xiang 丁香
'mo'ying'ren'shua'guai'dan 末影人刷怪蛋
'mo'ying'zhen'zhu 末影珍珠
'mo'ying'xiang 末影箱
'mo'ying'man 末影螨
'mo'ying'man'shua'guai'dan 末影螨刷怪蛋
'mo'ying'long 末影龙
'mo'ying'long'shua'guai'dan 末影龙刷怪蛋
'mo'ying'long'huo'qiu 末影龙火球
'sha'shou'tu 杀手兔
'cun'zhuang'ying'xiong 村庄英雄
'cun'min 村民
'cun'min'shua'guai'dan 村民刷怪蛋
'du'juan'shu'ye 杜鹃树叶
'du'juan'hua'cong 杜鹃花丛
'du'juan'hua'cong'pen'zai 杜鹃花丛盆栽
'lin'di'tan'xian'jia'di'tu 林地探险家地图
'ku'wei'de'guan'mu 枯萎的灌木
'ku'wei'de'guan'mu'pen'zai 枯萎的灌木盆栽
'biao'ji 标记
'biao'ba 标靶
'shu'yin'wen'yang'tao'pian 树荫纹样陶片
'jiao'pin'you'ni'gan'ce'ti 校频幽匿感测体
'hua'mu'sen'lin 桦木森林
'ti'zi 梯子
'zong'se'di'tan 棕色地毯
'zong'se'dai'you'tao'wa 棕色带釉陶瓦
'zong'se'chuang 棕色床
'zong'se'qi'zhi 棕色旗帜
'zong'se'ran'liao 棕色染料
'zong'se'ran'se'bo'li 棕色染色玻璃
'zong'se'ran'se'bo'li'ban 棕色染色玻璃板
'zong'se'hun'ning'tu 棕色混凝土
'zong'se'hun'ning'tu'fen'mo 棕色混凝土粉末
'zong'se'qian'ying'he 棕色潜影盒
'zong'se'yang'mao 棕色羊毛
'zong'se'mo'gu 棕色蘑菇
'zong'se'mo'gu'fang'kuai 棕色蘑菇方块
'zong'se'mo'gu'pen'zai 棕色蘑菇盆栽
'zong'se'la'zhu 棕色蜡烛
'zong'se'tao'wa 棕色陶瓦
'sen'lin 森林
'heng'sao'zhi'ren 横扫之刃
'ying'hua'yuan'mu 樱花原木
'ying'hua'mu 樱花木
'ying'hua'mu'ya'li'ban 樱花木压力板
'ying'hua'mu'tai'jie 樱花木台阶
'ying'hua'mu'gao'shi'pai 樱花木告示牌
'ying'hua'mu'an'niu 樱花木按钮
'ying'hua'mu'ban 樱花木板
'ying'hua'mu'zha'lan 樱花木栅栏
'ying'hua'mu'zha'lan'men 樱花木栅栏门
'ying'hua'mu'lou'ti 樱花木楼梯
'ying'hua'mu'huo'ban'men 樱花木活板门
'ying'hua'mu'chuan 樱花木船
'ying'hua'mu'yun'shu'chuan 樱花木运输船
'ying'hua'mu'men 樱花木门
'ying'hua'shu'ye 樱花树叶
'ying'hua'shu'lin 樱花树林
'ying'hua'shu'miao 樱花树苗
'ying'hua'shu'miao'pen'zai 樱花树苗盆栽
'cheng'se'di'tan 橙色地毯
'cheng'se'dai'you'tao'wa 橙色带釉陶瓦
'cheng'se'chuang 橙色床
'cheng'se'qi'zhi 橙色旗帜
'cheng'se'ran'liao 橙色染料
'cheng'se'ran'se'bo'li 橙色染色玻璃
'cheng'se'ran'se'bo'li'ban 橙色染色玻璃板
'cheng'se'hun'ning'tu 橙色混凝土
'cheng'se'hun'ning'tu'fen'mo 橙色混凝土粉末
'cheng'se'qian'ying'he 橙色潜影盒
'cheng'se'yang'mao 橙色羊毛
'cheng'se'la'zhu 橙色蜡烛
'cheng'se'yu'jin'xiang 橙色郁金香
'cheng'se'yu'jin'xiang'pen'zai 橙色郁金香盆栽
'cheng'se'tao'wa 橙色陶瓦
'xiang'mu 橡木
'xiang'mu'ya'li'ban 橡木压力板
'xiang'mu'yuan'mu 橡木原木
'xiang'mu'tai'jie 橡木台阶
'xiang'mu'gao'shi'pai 橡木告示牌
'xiang'mu'an'niu 橡木按钮
'xiang'mu'mu'ban 橡木木板
'xiang'mu'zha'lan 橡木栅栏
'xiang'mu'zha'lan'men 橡木栅栏门
'xiang'mu'lou'ti 橡木楼梯
'xiang'mu'huo'ban'men 橡木活板门
'xiang'mu'chuan 橡木船
'xiang'mu'yun'shu'chuan 橡木运输船
'xiang'mu'men 橡木门
'xiang'shu'shu'ye 橡树树叶
'xiang'shu'shu'miao 橡树树苗
'xiang'shu'shu'miao'pen'zai 橡树树苗盆栽
'du'ma'ling'shu 毒马铃薯
'qi'pao'zhu 气泡柱
'qi'pao'shan'hu 气泡珊瑚
'qi'pao'shan'hu'kuai 气泡珊瑚块
'qi'pao'shan'hu'shan 气泡珊瑚扇
'yang'hua'de'qie'zhi'tong'tai'jie 氧化的切制铜台阶
'yang'hua'de'qie'zhi'tong'kuai 氧化的切制铜块
'yang'hua'de'qie'zhi'tong'lou'ti 氧化的切制铜楼梯
'yang'hua'de'tong'kuai 氧化的铜块
'yang'hua'de'tong'ge'zha 氧化的铜格栅
'yang'hua'de'tong'huo'ban'men 氧化的铜活板门
'yang'hua'de'tong'deng 氧化的铜灯
'yang'hua'de'tong'men 氧化的铜门
'yang'hua'de'diao'wen'tong'kuai 氧化的雕纹铜块
'shui 水
'shui'xia'hu'xi 水下呼吸
'shui'xia'su'jue 水下速掘
'shui'tong 水桶
'shui'ping 水瓶
'shui'fei'zhi'jian 水肺之箭
'shui'fei'yao'shui 水肺药水
'chen'zhong'he'xin 沉重核心
'sha'qiu'kui'jia'wen'shi 沙丘盔甲纹饰
'sha'zi 沙子
'sha'tan 沙滩
'sha'mo 沙漠
'sha'mo'cun'zhuang'di'tu 沙漠村庄地图
'sha'li 沙砾
'he'liu 河流
'he'tun 河豚
'he'tun'shua'guai'dan 河豚刷怪蛋
'he'tun'tong 河豚桶
'zhi'liao'zhi'jian 治疗之箭
'zhi'liao'yao'shui 治疗药水
'zhao'ze 沼泽
'zhao'ze'tan'xian'jia'di'tu 沼泽探险家地图
'zhao'hai 沼骸
'zhao'hai'shua'guai'dan 沼骸刷怪蛋
'zhan'ni'de'hong'shu'gen 沾泥的红树根
'ni'tu 泥土
'ni'pi 泥坯
'ni'ba 泥巴
'ni'zhuan 泥砖
'ni'zhuan'tai'jie 泥砖台阶
'ni'zhuan'qiang 泥砖墙
'ni'zhuan'lou'ti 泥砖楼梯
'dong'xue'kong'qi 洞穴空气
'dong'xue'teng'wan 洞穴藤蔓
'dong'xue'teng'wan'zhi'zhu 洞穴藤蔓植株
'dong'xue'zhi'zhu 洞穴蜘蛛
'dong'xue'zhi'zhu'shua'guai'dan 洞穴蜘蛛刷怪蛋
'huo'sai 活塞
'huo'sai'tou 活塞头
'liu'lang'shang'ren 流浪商人
'liu'lang'shang'ren'shua'guai'dan 流浪商人刷怪蛋
'liu'lang'zhe 流浪者
'liu'lang'zhe'shua'guai'dan 流浪者刷怪蛋
'nong'chou'de'yao'shui 浓稠的药水
'fu'bing 浮冰
'fu'piao 浮漂
'hai'zhi'juan'gu 海之眷顾
'hai'an'kui'jia'wen'shi 海岸盔甲纹饰
'hai'dai 海带
'hai'dai'zhi'zhu 海带植株
'hai'jing'deng 海晶灯
'hai'jing'shi 海晶石
'hai'jing'shi'tai'jie 海晶石台阶
'hai'jing'shi'qiang 海晶石墙
'hai'jing'shi'lou'ti 海晶石楼梯
'hai'jing'shi'zhuan 海晶石砖
'hai'jing'shi'zhuan'tai'jie 海晶石砖台阶
'hai'jing'shi'zhuan'lou'ti 海晶石砖楼梯
'hai'jing'sha'li 海晶砂粒
'hai'jing'sui'pian 海晶碎片
'hai'pao'cai 海泡菜
'hai'yang 海洋
'hai'yang'zhi'xin 海洋之心
'hai'yang'tan'xian'jia'di'tu 海洋探险家地图
'hai'mian 海绵
'hai'cao 海草
'hai'tun 海豚
'hai'tun'shua'guai'dan 海豚刷怪蛋
'hai'tun'de'en'hui 海豚的恩惠
'hai'gui 海龟
'hai'gui'shua'guai'dan 海龟刷怪蛋
'hai'gui'ke 海龟壳
'hai'gui'dan 海龟蛋
'hai'gui'lin'jia 海龟鳞甲
'tu'la'de'qie'zhi'tong'tai'jie 涂蜡的切制铜台阶
'tu'la'de'qie'zhi'tong'kuai 涂蜡的切制铜块
'tu'la'de'qie'zhi'tong'lou'ti 涂蜡的切制铜楼梯
'tu'la'de'ban'bo'qie'zhi'tong'tai'jie 涂蜡的斑驳切制铜台阶
'tu'la'de'ban'bo'qie'zhi'tong'kuai 涂蜡的斑驳切制铜块
'tu'la'de'ban'bo'qie'zhi'tong'lou'ti 涂蜡的斑驳切制铜楼梯
'tu'la'de'ban'bo'tong'kuai 涂蜡的斑驳铜块
'tu'la'de'ban'bo'tong'ge'zha 涂蜡的斑驳铜格栅
'tu'la'de'ban'bo'tong'huo'ban'men 涂蜡的斑驳铜活板门
'tu'la'de'ban'bo'tong'deng 涂蜡的斑驳铜灯
'tu'la'de'ban'bo'tong'men 涂蜡的斑驳铜门
'tu'la'de'ban'bo'diao'wen'tong'kuai 涂蜡的斑驳雕纹铜块
'tu'la'de'yang'hua'qie'zhi'tong'tai'jie 涂蜡的氧化切制铜台阶
'tu'la'de'yang'hua'qie'zhi'tong'kuai 涂蜡的氧化切制铜块
'tu'la'de'yang'hua'qie'zhi'tong'lou'ti 涂蜡的氧化切制铜楼梯
'tu'la'de'yang'hua'tong'kuai 涂蜡的氧化铜块
'tu'la'de'yang'hua'tong'ge'zha 涂蜡的氧化铜格栅
'tu'la'de'yang'hua'tong'huo'ban'men 涂蜡的氧化铜活板门
'tu'la'de'yang'hua'tong'deng 涂蜡的氧化铜灯
'tu'la'de'yang'hua'tong'men 涂蜡的氧化铜门
'tu'la'de'yang'hua'diao'wen'tong'kuai 涂蜡的氧化雕纹铜块
'tu'la'de'tong'kuai 涂蜡的铜块
'tu'la'de'tong'ge'zha 涂蜡的铜格栅
'tu'la'de'tong'huo'ban'men 涂蜡的铜活板门
'tu'la'de'tong'deng 涂蜡的铜灯
'tu'la'de'tong'men 涂蜡的铜门
'tu'la'de'xiu'shi'qie'zhi'tong'tai'jie 涂蜡的锈蚀切制铜台阶
'tu'la'de'xiu'shi'qie'zhi'tong'kuai 涂蜡的锈蚀切制铜块
'tu'la'de'xiu'shi'qie'zhi'tong'lou'ti 涂蜡的锈蚀切制铜楼梯
'tu'la'de'xiu'shi'tong'kuai 涂蜡的锈蚀铜块
'tu'la'de'xiu'shi'tong'ge'zha 涂蜡的锈蚀铜格栅
'tu'la'de'xiu'shi'tong'huo'ban'men 涂蜡的锈蚀铜活板门
'tu'la'de'xiu'shi'tong'deng 涂蜡的锈蚀铜灯
'tu'la'de'xiu'shi'tong'men 涂蜡的锈蚀铜门
'tu'la'de'xiu'shi'diao'wen'tong'kuai 涂蜡的锈蚀雕纹铜块
'tu'la'de'diao'wen'tong'kuai 涂蜡的雕纹铜块
'xiao'shi'zu'zhou 消失诅咒
'wo'liu'kui'jia'wen'shi 涡流盔甲纹饰
'wo'liu'wen'yang'tao'pian 涡流纹样陶片
'dan'hui'se'di'tan 淡灰色地毯
'dan'hui'se'dai'you'tao'wa 淡灰色带釉陶瓦
'dan'hui'se'chuang 淡灰色床
'dan'hui'se'qi'zhi 淡灰色旗帜
'dan'hui'se'ran'liao 淡灰色染料
'dan'hui'se'ran'se'bo'li 淡灰色染色玻璃
'dan'hui'se'ran'se'bo'li'ban 淡灰色染色玻璃板
'dan'hui'se'hun'ning'tu 淡灰色混凝土
'dan'hui'se'hun'ning'tu'fen'mo 淡灰色混凝土粉末
'dan'hui'se'qian'ying'he 淡灰色潜影盒
'dan'hui'se'yang'mao 淡灰色羊毛
'dan'hui'se'la'zhu 淡灰色蜡烛
'dan'hui'se'tao'wa 淡灰色陶瓦
'dan'lan'se'di'tan 淡蓝色地毯
'dan'lan'se'dai'you'tao'wa 淡蓝色带釉陶瓦
'dan'lan'se'chuang 淡蓝色床
'dan'lan'se'qi'zhi 淡蓝色旗帜
'dan'lan'se'ran'liao 淡蓝色染料
'dan'lan'se'ran'se'bo'li 淡蓝色染色玻璃
'dan'lan'se'ran'se'bo'li'ban 淡蓝色染色玻璃板
'dan'lan'se'hun'ning'tu 淡蓝色混凝土
'dan'lan'se'hun'ning'tu'fen'mo 淡蓝色混凝土粉末
'dan'lan'se'qian'ying'he 淡蓝色潜影盒
'dan'lan'se'yang'mao 淡蓝色羊毛
'dan'lan'se'la'zhu 淡蓝色蜡烛
'dan'lan'se'tao'wa 淡蓝色陶瓦
'shen'ceng'mei'kuang'shi 深层煤矿石
'shen'ceng'hong'shi'kuang'shi 深层红石矿石
'shen'ceng'lv'bao'shi'kuang'shi 深层绿宝石矿石
'shen'ceng'jin'kuang'shi 深层金矿石
'shen'ceng'zuan'shi'kuang'shi 深层钻石矿石
'shen'ceng'tie'kuang'shi 深层铁矿石
'shen'ceng'tong'kuang'shi 深层铜矿石
'shen'ceng'qing'jin'shi'kuang'shi 深层青金石矿石
'shen'an'zhi'yu 深暗之域
'shen'ban'yan 深板岩
'shen'ban'yan'yuan'shi 深板岩圆石
'shen'ban'yan'yuan'shi'tai'jie 深板岩圆石台阶
'shen'ban'yan'yuan'shi'qiang 深板岩圆石墙
'shen'ban'yan'yuan'shi'lou'ti 深板岩圆石楼梯
'shen'ban'yan'wa 深板岩瓦
'shen'ban'yan'wa'tai'jie 深板岩瓦台阶
'shen'ban'yan'wa'qiang 深板岩瓦墙
'shen'ban'yan'wa'lou'ti 深板岩瓦楼梯
'shen'ban'yan'zhuan 深板岩砖
'shen'ban'yan'zhuan'tai'jie 深板岩砖台阶
'shen'ban'yan'zhuan'qiang 深板岩砖墙
'shen'ban'yan'zhuan'lou'ti 深板岩砖楼梯
'shen'hai 深海
'shen'hai'tan'suo'zhe 深海探索者
'shen'se'xiang'mu 深色橡木
'shen'se'xiang'mu'ya'li'ban 深色橡木压力板
'shen'se'xiang'mu'yuan'mu 深色橡木原木
'shen'se'xiang'mu'tai'jie 深色橡木台阶
'shen'se'xiang'mu'gao'shi'pai 深色橡木告示牌
'shen'se'xiang'mu'an'niu 深色橡木按钮
'shen'se'xiang'mu'mu'ban 深色橡木木板
'shen'se'xiang'mu'zha'lan 深色橡木栅栏
'shen'se'xiang'mu'zha'lan'men 深色橡木栅栏门
'shen'se'xiang'mu'lou'ti 深色橡木楼梯
'shen'se'xiang'mu'huo'ban'men 深色橡木活板门
'shen'se'xiang'mu'chuan 深色橡木船
'shen'se'xiang'mu'yun'shu'chuan 深色橡木运输船
'shen'se'xiang'mu'men 深色橡木门
'shen'se'xiang'shu'shu'ye 深色橡树树叶
'shen'se'xiang'shu'shu'miao 深色橡树树苗
'shen'se'xiang'shu'shu'miao'pen'zai 深色橡树树苗盆栽
'shen'jiang 渗浆
'shen'jiang'zhi'jian 渗浆之箭
'shen'jiang'yao'shui 渗浆药水
'wen'shui'hai'yang 温水海洋
'wen'shui'shen'hai 温水深海
'shi'hai'mian 湿海绵
'rong'dong 溶洞
'ni'shi 溺尸
'ni'shi'shua'guai'dan 溺尸刷怪蛋
'zhi'liu'xing'shang'hai'yao'shui 滞留型伤害药水
'zhi'liu'xing'zai'sheng'yao'shui 滞留型再生药水
'zhi'liu'xing'ju'du'yao'shui 滞留型剧毒药水
'zhi'liu'xing'li'liang'yao'shui 滞留型力量药水
'zhi'liu'xing'ye'shi'yao'shui 滞留型夜视药水
'zhi'liu'xing'ping'fan'de'yao'shui 滞留型平凡的药水
'zhi'liu'xing'xing'yun'yao'shui 滞留型幸运药水
'zhi'liu'xing'kang'huo'yao'shui 滞留型抗火药水
'zhi'liu'xing'shui'ping 滞留型水瓶
'zhi'liu'xing'shui'fei'yao'shui 滞留型水肺药水
'zhi'liu'xing'zhi'liao'yao'shui 滞留型治疗药水
'zhi'liu'xing'nong'chou'de'yao'shui 滞留型浓稠的药水
'zhi'liu'xing'shen'jiang'yao'shui 滞留型渗浆药水
'zhi'liu'xing'pan'si'yao'shui 滞留型盘丝药水
'zhi'liu'xing'shen'gui'yao'shui 滞留型神龟药水
'zhi'liu'xing'cu'zhi'de'yao'shui 滞留型粗制的药水
'zhi'liu'xing'huan'jiang'yao'shui 滞留型缓降药水
'zhi'liu'xing'xu'feng'yao'shui 滞留型蓄风药水
'zhi'liu'xing'xu'ruo'yao'shui 滞留型虚弱药水
'zhi'liu'xing'chong'shi'yao'shui 滞留型虫蚀药水
'zhi'liu'xing'tiao'yue'yao'shui 滞留型跳跃药水
'zhi'liu'xing'xun'jie'yao'shui 滞留型迅捷药水
'zhi'liu'xing'chi'huan'yao'shui 滞留型迟缓药水
'zhi'liu'xing'yin'shen'yao'shui 滞留型隐身药水
'zhi'liu'xing'piao'fu'yao'shui 滞留型飘浮药水
'zhi'liu'yao'shui 滞留药水
'bin'ju 滨菊
'bin'ju'pen'zai 滨菊盆栽
'di'shui'shi'kuai 滴水石块
'di'shui'shi'zhui 滴水石锥
'lou'dou 漏斗
'lou'dou'kuang'che 漏斗矿车
'qian'ying'ke 潜影壳
'qian'ying'dan 潜影弹
'qian'ying'he 潜影盒
'qian'ying'bei 潜影贝
'qian'ying'bei'shua'guai'dan 潜影贝刷怪蛋
'chao'xi'kui'jia'wen'shi 潮汐盔甲纹饰
'chao'yong'he'xin 潮涌核心
'chao'yong'neng'liang 潮涌能量
'ji'huo'tie'gui 激活铁轨
'ji'liu 激流
'huo 火
'huo'ba 火把
'huo'ba'hua 火把花
'huo'ba'hua'zhi'zhu 火把花植株
'huo'ba'hua'pen'zai 火把花盆栽
'huo'ba'hua'zhong'zi 火把花种子
'huo'yan'bao'hu 火焰保护
'huo'yan'dan 火焰弹
'huo'yan'fu'jia 火焰附加
'huo'shan'hu 火珊瑚
'huo'shan'hu'kuai 火珊瑚块
'huo'shan'hu'shan 火珊瑚扇
'huo'qiu 火球
'huo'shi 火矢
'huo'yao 火药
'deng'long 灯笼
'hui'hua'tu 灰化土
'hui'se'di'tan 灰色地毯
'hui'se'dai'you'tao'wa 灰色带釉陶瓦
'hui'se'chuang 灰色床
'hui'se'qi'zhi 灰色旗帜
'hui'se'ran'liao 灰色染料
'hui'se'ran'se'bo'li 灰色染色玻璃
'hui'se'ran'se'bo'li'ban 灰色染色玻璃板
'hui'se'hun'ning'tu 灰色混凝土
'hui'se'hun'ning'tu'fen'mo 灰色混凝土粉末
'hui'se'qian'ying'he 灰色潜影盒
'hui'se'yang'mao 灰色羊毛
'hui'se'la'zhu 灰色蜡烛
'hui'se'tao'wa 灰色陶瓦
'ling'hun'tu 灵魂土
'ling'hun'sha 灵魂沙
'ling'hun'sha'xia'gu 灵魂沙峡谷
'ling'hun'huo 灵魂火
'ling'hun'huo'ba 灵魂火把
'ling'hun'deng'long 灵魂灯笼
'ling'hun'ji'xing 灵魂疾行
'ling'hun'ying'huo 灵魂营火
'zai'e'qi'zhi 灾厄旗帜
'lian'yao'guo 炼药锅
'chi'zu'shou 炽足兽
'chi'zu'shou'shua'guai'dan 炽足兽刷怪蛋
'lie'yan'ren 烈焰人
'lie'yan'ren'shua'guai'dan 烈焰人刷怪蛋
'lie'yan'bang 烈焰棒
'lie'yan'fen 烈焰粉
'lie'yan'wen'yang'tao'pian 烈焰纹样陶片
'yan'huo'zhi'xing 烟火之星
'yan'xun'lu 烟熏炉
'yan'hua'huo'jian 烟花火箭
'kao'ma'ling'shu 烤马铃薯
're'dai'cao'yuan 热带草原
're'dai'cao'yuan'cun'zhuang'di'tu 热带草原村庄地图
're'dai'gao'yuan 热带高原
're'dai'yu 热带鱼
're'dai'yu'shua'guai'dan 热带鱼刷怪蛋
're'dai'yu'tong 热带鱼桶
'mei'tan 煤炭
'mei'tan'kuai 煤炭块
'mei'kuang'shi 煤矿石
'xiong'mao 熊猫
'xiong'mao'shua'guai'dan 熊猫刷怪蛋
'rong'yan 熔岩
'rong'yan'tong 熔岩桶
'rong'lu 熔炉
'shu'tu'rou 熟兔肉
'shu'zhu'pai 熟猪排
'shu'yang'rou 熟羊肉
'shu'gui'yu 熟鲑鱼
'shu'xue'yu 熟鳕鱼
'shu'ji'rou 熟鸡肉
'sui'shi 燧石
'bao'zha'bao'hu 爆炸保护
'bao'lie'zi'song'guo 爆裂紫颂果
'ai'xin'wen'yang'tao'pian 爱心纹样陶片
'niu 牛
'niu'shua'guai'dan 牛刷怪蛋
'niu'pai 牛排
'mu'dan 牡丹
'mu'min'kui'jia'wen'shi 牧民盔甲纹饰
'wu'pin 物品
'wu'pin'zhan'shi'shi'ti 物品展示实体
'wu'pin'zhan'shi'kuang 物品展示框
'qiu'yu 犰狳
'qiu'yu'shua'guai'dan 犰狳刷怪蛋
'qiu'yu'lin'jia 犰狳鳞甲
'hu'li 狐狸
'hu'li'shua'guai'dan 狐狸刷怪蛋
'lang 狼
'lang'shua'guai'dan 狼刷怪蛋
'lang'hao'wen'yang'tao'pian 狼嚎纹样陶片
'lang'kai 狼铠
'zhu 猪
'zhu'shua'guai'dan 猪刷怪蛋
'zhu'ling 猪灵
'zhu'ling'shua'guai'dan 猪灵刷怪蛋
'zhu'ling'de'tou 猪灵的头
'zhu'ling'man'bing 猪灵蛮兵
'zhu'ling'man'bing'shua'guai'dan 猪灵蛮兵刷怪蛋
'zhu'bi'kui'jia'wen'shi 猪鼻盔甲纹饰
'mao 猫
'mao'shua'guai'dan 猫刷怪蛋
'xuan'wu'yan 玄武岩
'xuan'wu'yan'san'jiao'zhou 玄武岩三角洲
'wan'jia 玩家
'wan'jia'de'tou 玩家的头
'mei'gui'cong 玫瑰丛
'bo'li 玻璃
'bo'li'ban 玻璃板
'bo'li'ping 玻璃瓶
'zhen'bao'wen'yang'tao'pian 珍宝纹样陶片
'zhu'guang'wa'ming'deng 珠光蛙明灯
'ping'zi'cao 瓶子草
'ping'zi'cao'zhi'zhu 瓶子草植株
'ping'zi'cao'jia'guo 瓶子草荚果
'gan'zhe 甘蔗
'tian'jiang'guo 甜浆果
'tian'jiang'guo'cong 甜浆果丛
'tian'cai'gen 甜菜根
'tian'cai'tang 甜菜汤
'tian'cai'zhong'zi 甜菜种子
'sheng'tu'rou 生兔肉
'sheng'ming'hui'fu 生命恢复
'sheng'ming'ti'sheng 生命提升
'sheng'niu'rou 生牛肉
'sheng'zhu'pai 生猪排
'sheng'yang'rou 生羊肉
'sheng'gui'yu 生鲑鱼
'sheng'xue'yu 生鳕鱼
'sheng'ji'rou 生鸡肉
'hua 画
'shu'lin'e'di 疏林恶地
'you'zhu'shou 疣猪兽
'you'zhu'shou'shua'guai'dan 疣猪兽刷怪蛋
'bai'hua'yuan'mu 白桦原木
'bai'hua'mu 白桦木
'bai'hua'mu'ya'li'ban 白桦木压力板
'bai'hua'mu'tai'jie 白桦木台阶
'bai'hua'mu'gao'shi'pai 白桦木告示牌
'bai'hua'mu'an'niu 白桦木按钮
'bai'hua'mu'ban 白桦木板
'bai'hua'mu'zha'lan 白桦木栅栏
'bai'hua'mu'zha'lan'men 白桦木栅栏门
'bai'hua'mu'lou'ti 白桦木楼梯
'bai'hua'mu'huo'ban'men 白桦木活板门
'bai'hua'mu'chuan 白桦木船
'bai'hua'mu'yun'shu'chuan 白桦木运输船
'bai'hua'mu'men 白桦木门
'bai'hua'shu'ye 白桦树叶
'bai'hua'shu'miao 白桦树苗
'bai'hua'shu'miao'pen'zai 白桦树苗盆栽
'bai'se'di'tan 白色地毯
'bai'se'dai'you'tao'wa 白色带釉陶瓦
'bai'se'chuang 白色床
'bai'se'qi'zhi 白色旗帜
'bai'se'ran'liao 白色染料
'bai'se'ran'se'bo'li 白色染色玻璃
'bai'se'ran'se'bo'li'ban 白色染色玻璃板
'bai'se'hun'ning'tu 白色混凝土
'bai'se'hun'ning'tu'fen'mo 白色混凝土粉末
'bai'se'qian'ying'he 白色潜影盒
'bai'se'yang'mao 白色羊毛
'bai'se'la'zhu 白色蜡烛
'bai'se'yu'jin'xiang 白色郁金香
'bai'se'yu'jin'xiang'pen'zai 白色郁金香盆栽
'bai'se'tao'wa 白色陶瓦
'pi'ge 皮革
'pi'ge'wai'tao 皮革外套
'pi'ge'mao'zi 皮革帽子
'pi'ge'ku'zi 皮革裤子
'pi'ge'xue'zi 皮革靴子
'pi'ge'ma'kai 皮革马铠
'jian'shou'kui'jia'wen'shi 监守盔甲纹饰
'jian'shou'zhe 监守者
'jian'shou'zhe'shua'guai'dan 监守者刷怪蛋
'kui'jia'jia 盔甲架
'pan'si 盘丝
'pan'si'zhi'jian 盘丝之箭
'pan'si'yao'shui 盘丝药水
'sheng'kai'de'du'juan'shu'ye 盛开的杜鹃树叶
'sheng'kai'de'du'juan'hua'cong 盛开的杜鹃花丛
'sheng'kai'de'du'juan'hua'cong'pen'zai 盛开的杜鹃花丛盆栽
'dun'pai 盾牌
'yan'mou'kui'jia'wen'shi 眼眸盔甲纹饰
'shui'lian 睡莲
'shun'jian'shang'hai 瞬间伤害
'shun'jian'zhi'liao 瞬间治疗
'shi'che'ju 矢车菊
'shi'che'ju'pen'zai 矢车菊盆栽
'zhi'shi'zhi'shu 知识之书
'ai'cao'cong 矮草丛
'shi'jian 石剑
'shi'hua'xiang'mu'tai'jie 石化橡木台阶
'shi'tou 石头
'shi'tou'ya'li'ban 石头压力板
'shi'tou'tai'jie 石头台阶
'shi'tou'an'niu 石头按钮
'shi'tou'lou'ti 石头楼梯
'shi'an 石岸
'shi'fu 石斧
'shi'zhuan 石砖
'shi'zhuan'tai'jie 石砖台阶
'shi'zhuan'qiang 石砖墙
'shi'zhuan'lou'ti 石砖楼梯
'shi'ying'tai'jie 石英台阶
'shi'ying'kuai 石英块
'shi'ying'zhu 石英柱
'shi'ying'lou'ti 石英楼梯
'shi'ying'zhuan 石英砖
'shi'chu 石锄
'shi'qiao 石锹
'shi'gao 石镐
'kuang'che 矿车
'sha'tu 砂土
'sha'yan 砂岩
'sha'yan'tai'jie 砂岩台阶
'sha'yan'qiang 砂岩墙
'sha'yan'lou'ti 砂岩楼梯
'sha'lun 砂轮
'po'jia 破甲
'wan 碗
'ci'shi 磁石
'ci'shi'zhi'zhen 磁石指针
'mo'zhi'ning'hui'yan 磨制凝灰岩
'mo'zhi'ning'hui'yan'tai'jie 磨制凝灰岩台阶
'mo'zhi'ning'hui'yan'qiang 磨制凝灰岩墙
'mo'zhi'ning'hui'yan'lou'ti 磨制凝灰岩楼梯
'mo'zhi'an'shan'yan 磨制安山岩
'mo'zhi'an'shan'yan'tai'jie 磨制安山岩台阶
'mo'zhi'an'shan'yan'lou'ti 磨制安山岩楼梯
'mo'zhi'shen'ban'yan 磨制深板岩
'mo'zhi'shen'ban'yan'tai'jie 磨制深板岩台阶
'mo'zhi'shen'ban'yan'qiang 磨制深板岩墙
'mo'zhi'shen'ban'yan'lou'ti 磨制深板岩楼梯
'mo'zhi'xuan'wu'yan 磨制玄武岩
'mo'zhi'hua'gang'yan 磨制花岗岩
'mo'zhi'hua'gang'yan'tai'jie 磨制花岗岩台阶
'mo'zhi'hua'gang'yan'lou'ti 磨制花岗岩楼梯
'mo'zhi'shan'zhang'yan 磨制闪长岩
'mo'zhi'shan'zhang'yan'tai'jie 磨制闪长岩台阶
'mo'zhi'shan'zhang'yan'lou'ti 磨制闪长岩楼梯
'mo'zhi'hei'shi 磨制黑石
'mo'zhi'hei'shi'ya'li'ban 磨制黑石压力板
'mo'zhi'hei'shi'tai'jie 磨制黑石台阶
'mo'zhi'hei'shi'qiang 磨制黑石墙
'mo'zhi'hei'shi'an'niu 磨制黑石按钮
'mo'zhi'hei'shi'lou'ti 磨制黑石楼梯
'mo'zhi'hei'shi'zhuan 磨制黑石砖
'mo'zhi'hei'shi'zhuan'tai'jie 磨制黑石砖台阶
'mo'zhi'hei'shi'zhuan'qiang 磨制黑石砖墙
'mo'zhi'hei'shi'zhuan'lou'ti 磨制黑石砖楼梯
'shen'gui'zhi'jian 神龟之箭
'shen'gui'yao'shui 神龟药水
'ji'xue'shan'po 积雪山坡
'ji'xue'sha'tan 积雪沙滩
'ji'xue'zhen'ye'lin 积雪针叶林
'yi'dong'de'huo'sai 移动的活塞
